input.sentences,output.sentences,persona.age
i finally found an alternate route .,After several hours a route was able to be found to get home.,25-34
there was a ceremony by the memorial today .,Today I am in a sacred place observing a military ceremony.,35-44
their favorite beer was being sold at the bar so they had one .,A girl walked up and sold us a couple shots then we took a great pic of just us girls with our favorite beer.,45-54
afterward they all went to a bar for some drinks .,We decided to get drinks at the bar afterward.,35-44
wow | i can not even put into words the beauty we experience upon the viewing of this .,"As we are viewing it the words I can think of is wow, wow, wow.",55-74
it was a great success | as they were able to donate $ 150|000 to the charity .,THE SING A SONG,25-34
i love taking photos of an older neighborhood .,"A light, powdery snow blanketed the village.",55-74
we came out to support the organization organization after they won the world series .,Boston turned out to support the Red Sox after their World Series win.,25-34
he was headed to t he meeting .,He had a great time on the hike.,25-34
this cemetery was well maintained .,He loved visiting them and reading all the plaques.,18-24
we decided to take a ride on the river .,I visited the water and it was beautiful.,45-54
a palish green pumpkin overlooks our favorite island .,Today I did a photo shoot with a pumpkin that was palish with a sea overlook.,18-24
there is a statue of man sitting down reading a book .,"It depicted a warehouse full of unique artifacts, such as bronze men.",25-34
nature was everywhere | here is a praying mantis i found on my hike .,When we stopped we looked at nature and saw a praying mantis.,25-34
once i knew the agenda | i walked around to find this tech object .,"We walked around seeing tech displays, and various objects I couldn't identify.",35-44
there was my favorite kind of car there .,My favorite car was a golden car with eagle on the hood.,18-24
others were just slits in the shape of the cross .,The detail of the cross with it slits and unique shape is amazing.,45-54
it had been awhile since it was in use . the sides of the building looked grimy .,The building looked grimy.,18-24
luckily everyone was prepared and had umbrellas .,Luckily we were prepared since we brought umbrellas.,25-34
the start of the sightseeing tour | taking photos of each other from opposite sides of the street .,time to take some photos,25-34
however you experience flight | let it be fun and memorable .,I'm glad we came.,55-74
today is their wedding day .,We had our wedding day last week.,Under12
some carried the banner | while others carried signs .,"They all carried banners and signs proclaiming their peaceful, progressive beliefs.",25-34
the little kids play dress up and wear their mom 's clothing .,The kids will wear off energy playing with Mom,35-44
we all got a good laugh .,All the men began to watch something together while smiling.,25-34
then a man is hitting the pinata while he is blind folded .,TWO MANS STANDING UNDER THE TREE,25-34
the bride and groom both wore white .,"Naturally, Sonia wore white, and only the groom knew that it was in symbol only.",35-44
much better | lights out .,Sometimes the lights are too dark.,45-54
a bunch of us headed to the nearby river to test the waters .,FRIENDS KAYAKING DOWN THE RIVER,55-74
he purchased a green dress for his mother . he still had not made it to work .,then we went to the mall,25-34
there are bridges for cars to drive over .,They were told that bridges of the future could be made with plastic.,55-74
[male] went on stage to receive his diploma .,The guys have to go on stage to receive their diploma.,55-74
the guest speaker arrived on time as was expected .,It was time for the speaker to appear as a guest.,35-44
we took this picture in the inn we were staying while on our trip .,On this trip we stayed at an amazing hotel.,18-24
it 's clearly standing room only .,It was standing room only.,25-34
i like to sit and be with him for a while . it 's very comforting .,"However, she remembers how proudly he wore his uniform and what it really meant to him to be able to fight for freedom.",45-54
first we found license plates hanging on the walls .,The walls were covered in plates with license numbers.,35-44
i looked through some of it to see if there was anything useful .,One person looked for recycling materials,45-54
i went to school today .,it is a garden,25-34
everyone had a great time at my party last night .,Gemma told Dan about the sex change operation.,45-54
we all gathered at the church for the baptism .,We got together at church for my son's dedication.,25-34
the dj was busy playing his tunes .,The DJ was ready to scratch the night away.,25-34
some of the buildings were magnificent .,There was a large building on the side of the freeway.,18-24
i also toured the hillside .,The sights we saw were beautiful.,45-54
everyone had a wonderful time .,"Finally it was over, and we all had a wonderful time.",25-34
the people were playing golf,People are playing golf today.,25-34
they gather around the charts t0 .,They go and gather the medical charts.,35-44
there was quite a crowd at the border checkpoint .,The refugees were eager to get into the safe place.,18-24
so many ships passed by this island port . this area is not accessible by car .,One stop in particular was at a port where ships passed as they waited.,25-34
a friend of mine got us tickets to a concert that was taking place at the local fairgrounds .,His mom was so proud of him.,25-34
manny bought a raffle ticket,"I gave Manny a free raffle ticket, to try and cheer him up.",45-54
later that day | i told my husband that i wanted to become an artist | so i took this amazing photo of two tiny windows .,IT IS A WINDOW,25-34
she danced with her beer .,"Not knowing the duck was not hers, she backed away in surprise.",18-24
i had to clean my work area today .,Keeping a clean organized office is important to Janet.,18-24
they spoke very good points .,Men and women spoke about many issues facing the world today.,25-34
[male] still quite emotional | but is dealing with it very well.mostly because he can open up more and express himself freely within the group .,ONE MAN FREELY SPOKE ABOUT WHAT HAPPENED,25-34
while driving through a city | i saw these lights going off .,The fireworks lit up over Seattle.,18-24
[male] was getting really mad and wanted to go home .,The male boy was mad and wanted to go home.,55-74
it was a lot of fun .,We had a lot of fun today.,25-34
they were married over 50 years,A favorite picture in the family,55-74
i went to a neat parade the other day and had a good time .,This parade was always a great time.,25-34
checking out the people in the store were so nice to him .,He wandered around the store picking his items and then he paid.,25-34
it was a lot of fun .,The motorcycles bikes were all ready.,35-44
she also wanted to pose in some options of bridesmade dresses .,I love this pose but these types of shots don't show the dresses leaving you with zero options to pick from.,35-44
the wedding is over just eating and dancing now !,The venue was a great big hall which luckily fitted the very large guest list.,35-44
is that a mattress under the car ?,And was very happy to be in the field.,25-34
the two men and female are having conversation in a vehicle backseat .,"As we made our way home, the streetlights burned the night away from us.",25-34
this owner was well prepared for a glass of tea .,John prepared tea and sat down to talk to the owner of the house about selling it.,45-54
the fourth of july celebration was underway | and the whole town was prepared for it as they hung the location flag from the location location .,Today is the fourth of July.,35-44
organization organization relaxes in a chair .,There was a guy who had a hard time getting out.,25-34
we rested after walking through the boulders and listened to the guide speak about how they got there .,There we sat and had lunch.,18-24
the posed for some photos afterwards .,There were several photos taken of the family.,55-74
we had a lot of fun at the festival . several friends and i went along with our families .,A couple of people spend time together.,18-24
het met with the kids to hear about their interests .,His mom was so proud of him.,25-34
people come from all over to compete and almost the whole town shows up to support them .,The town's residents all show to show support to the runners.,18-24
there was a large ferris wheel there .,The ferris wheel was quite the sight.,25-34
[male] even hangs in front of his place with his friends everyday and does n't haft to worry about his mother having any problems with his company .,He had a great time on the hike.,25-34
[male] had lots of fun opening his presents .,THE BOY WAS PLAYING,25-34
the band played for a while until early morning .,The lead singer finished singing.,18-24
i washed some canned garbanzo beans .,Mary told me I should try a falafel but I was skeptical as I watched her wash the tastless canned garbanzo beans.,35-44
i even saw a wolf !,The wolf exhibit was awesome!,45-54
after we were interviewed for the news .,The audience being interviewed is great for feedback.,35-44
these guys look eager to go . they were very funny i remember .,I ran into some guys I met at the event last year because they were so funny!,25-34
the bride and groom were very happy that everyone could make it .,There was a happy groom and bride.,18-24
then it was time to get the fireworks display started .,Dark began closing in and the fireworks got started.,35-44
at the venue | the electronic music played loudly .,The dog was ready to go.,25-34
[male] had participated for the last 5 years .,People who participated were typically males around 5 feet tall.,18-24
volunteers help prepare the food .,After the awards were handed out we got to the most important part of the event: CAKE!,25-34
the reporters | as well as family members were waiting for the parade to start .,His mom was so proud of him.,25-34
what a beautiful building i think i will like it here .,I enjoyed seeing all the beautiful buildings.,18-24
the shallow mountains are located to the other side of the lake .,"On the other side of the shallow lake were mountains, first small ones, the larger ones off in the distance.",55-74
it 's clearly standing room only .,Their were so many people.,25-34
they were a bit scared of the noise at first .,The noise is scared me a little bit.,Under12
we were all happy to be at the [female] bowl game .,Everyone seemed happy at the game.,25-34
young ladies mother and father pose for a picture .,So were my parenets.,35-44
i went to location this weekend .,We finally arrived at the museum in Minnesota.,45-54
the white house was very beautiful .,Their favorite place to walk past was the white house.,25-34
he was very excited the night was going to go so well .,The guests are excited to taste his food.,55-74
for my boyfriend 's 25th birthday | i got a lot of friends together .,She liked to go out a lot with her friends and boyfriend.,35-44
this is a party after a small wedding took place .,The wedding party was kicking off.,35-44
the stage was all set up and waiting for everyone to enter .,As the guest are waiting people the musicians to get the stage set.,18-24
even [male] the bartender was in on it .,She took pictures with everyone.,18-24
the bagpipe players wore their traditional kilts .,The men who wore the traditional kilts were bagpipe players.,25-34
a giant flag draped the stage .,"On the stage, there was a giant flag.",18-24
[male] had n't ridden a bike for ten years until day .,First the ten men competed on bikes.,55-74
an actor and actress reinact the fight scenes in the movie .,this movie couple kick each others asses!,35-44
with their race gear on | people are talking about the day ahead .,THE MAN WAS SMILE,18-24
[male] did n't get that memo | when it was his turn with the mic he went on and on about how he sits on his front porch throwing firecrackers at kids passing by..opps .,His mom was so proud of him.,25-34
it was dad 's idea to go out .,His dad was excited about all the gifts.,25-34
the entire family was there to celebrate .,Love taking this family picture with all of them.,18-24
they both got new toys .,there were many of her friends and family there.,25-34
our neighbor showed us around last week .,"My neighbor, who's a nice guy, does volunteer work every other weekend.",45-54
the fence used to indicate deep water but now just looks like a normal fence .,fences of places that current generations had dared not seen,18-24
`` i just ca n't tell you ! '' [female] said .,"As her friend listened to what she described, she too was overcome by nausea.",25-34
soon they all gave up .,It was much harder work than they had expected.,35-44
they went out and ordered drinks at a bar .,this is sombody making somthing,18-24
finally the long flight comes to an end .,The dog was ready to go.,25-34
chilling on the virtual couch with virtual people .,People enjoy sitting on the couch in the game.,25-34
we got a new office today .,Looking for office suite 502.,45-54
and so was slash and an army guy .,Slash and the army guy better watch out.,35-44
the pastor finished the sermon .,He continues preaching for a long time.,45-54
bbq backyards enjoyment .,A BBQ brings much enjoyment in backyards.,45-54
finally we passed by a gray and white house .,"This house was for sale and they were having an open house that day, so the couple decided to go check it out.",25-34
the view was really nice .,The dog was ready to go.,25-34
later that night a [female] jam concert was awesome .,"At night, a band had a jam session, led by a female vocalist.",35-44
being goofy at the camera is her thing .,"She is a sweet, goofy baby.",35-44
there was a lot of garbage on the floor .,IT IS A PRODUCTS,18-24
the poodle showed off its pink dye all over its body .,He remember a pretty poodle that was pink because the poodle wanted to dye its fur.,18-24
they strolled down the beach hand in hand .,"Many people forgot to bring buckets, and just held hands.",25-34
heres us together about to cut the cake ! it was delicious .,"Afterwards, we decided to cut the cake.",18-24
we saw a lovely building with yellow paint .,It is a lovely change from staring at this paint,35-44
they even have a outside market .,The market was indoors and out.,25-34
my girlfriend [female] got into the new years party stuff even though it was n't new years,IT IS A FOOD,25-34
the awards ceremony and graduation was today .,We sat in the back of the auditorium for the graduation ceremony awards,35-44
speeches were made .,The Dean of academics welcomes the new graduates.,45-54
good friends stays faithful and they are always loyal .,Days like today is why she stays loyal to her friends .,25-34
we went to a renaissance festival while we were on vacation .,this is a city's historic statue,18-24
my family members wore very neat colors that day .,Today was our big family reunion.,18-24
this little guy loves his noisy book !,The baby played by himself quietly.,45-54
there was a fence blocking off private property nearby .,Then we saw something we will never forget.,35-44
it had snowed a lot last year and i stopped at a park to walk around .,I decided to stop for a few minutes and take a walk in the snow.,35-44
today i needed cat food,He purchased cat food.,18-24
and her handbags ...,IT IS A ADVANCED COMPUTER,25-34
there is a church sale and bake sale going on .,People crowded inside the church for the annual bake sale.,25-34
city traffic | what a nightmare .,The traffic in the city was a nightmare,25-34
the ferris wheel is always a favorite ride of mine .,I saw a ferris wheel and wanted to ride one because it's a dream of mine.,25-34
the gamers were very intense into their matches .,"As producers and investors nervously watch the test gamers battle each other, developers make mental note of bugs to fix in the final phase.",35-44
but in any condition it is never safe to drive after having drinks .,Never drink and drive.,25-34
this is a nice walkway .,THE TAKE GROUP PHOTO,18-24
nearby my house there are some old structures that look like time was stopped in the 50s or 60s .,This sign is an antique.,45-54
the kids were in the pool today .,The kids decided to get into the pool.,18-24
everyone got to eat all kinds of foods .,We had all kinds of food to eat.,25-34
everyone stood outside and observed it .,I bet that one used to be a barracks.,55-74
forth of july firework show .,There were firewords for the Fourth of July.,45-54
friends assembling on an out door trip .,My parents went on a trip.,18-24
he nervously shakes his teacher 's hand and makes a brief speech .,"He shakes hands with the teacher, ready to give his speech.",25-34
we try to go here at least once a year to see what 's been added .,The latest works added were three stone trees from Scotland.,55-74
the girls celebrate their victory in front of the fireplace and get ready for bed .,At the end of the night they all had a good time.,35-44
wow | i can not even put into words the beauty we experience upon the viewing of this .,Wow were the words after viewing.,18-24
i came to in front of another building | not sure how i got there !,The front of the building has some interesting architecture.,55-74
he inspired me to draw a colored tree wasting away in the sun . i eventually got tired and fell asleep .,"We ended up wasting a lot of time at one of another tree, and got tired so we went home.",35-44
you must of course add onions for flavor . chop them up into small pieces .,The pieces of onion had flavor.,18-24
then half time began,There were cheerleaders during half time.,35-44
this can be replaced | and they can not be . i think at the end of the day | it 's all good !,They didn't see any people by the plane.,18-24
listening intently .,You can see that they are PennState graduates.,25-34
even the simplest things | such as this empty lot | can hold beauty and design .,Further on we came across a beat up sign hanging on a chain link fence.,55-74
some of the artwork hanging was bold and vibrant .,This was very different to the normal 2-d art the museum was known for.,25-34
dinner is cooked on a grill,We cooked up dinner on a grill.,25-34
as well as different fruits | and vegetables .,THE VEGGIES WERE ALL SO DELIOUS LOOKING,25-34
there was an old house,IT IS A LIGHT,18-24
on the ride to the beach | though | we 'd seen many interesting plants .,Plants also must endure man's existence and their technology.,25-34
then | as the radio broadcasters attempted to exit the ferry it began to tip to one side .,The guys tipped over while listening to the radio on the ferry.,18-24
`` hey ! it 's free year membership to the bacon of the month club ! '' said grandpa .,He opened cards and gifts with my aunt.,25-34
mexican graveyards are interesting,I went to a mexican graveyard.,Under12
the zoo is such a fun place as you can see i am enjoying myself visiting the animals,IT IS A SEA,25-34
riding off in to the sunset to start a new life as husband and wife .,"After the photos, the bride and groom made their way into their getaway car.",18-24
i rememer seeing this picture in my art appreciation class,I admired oil paintings of people paddling canoes.,55-74
next we attended a soccer game at their famous stadium .,We could see the stadium where we were going to watch a soccer game.,45-54
while the house was n't quite what we expected ...,We arrived at the rental house but it was not as we expected.,25-34
there area was very colorful and beautiful .,He noticed a peculiar Christmas decoration.,35-44
at nighttime the crowd began to disburse .,He had a great time on the hike.,25-34
the whole family was gathered for my grandfather 's birthday .,"August 12th, it was our grandfathers birthday, we gathered our family to throw in a party",18-24
when i finally arrived at the restaurant i ordered a big plate of food .,"When they finally sat to eat, each serving of food was delicious.",55-74
i hope i can get back to them in time to show them i actually could make the swim to shore unscathed .,The men made it out unscathed that to the sharks who took the time to swim them back to shore.,18-24
we even danced a little,Everyone danced and had a great time.,25-34
family and friends were invited to have food beforehand .,His mom was so proud of him.,35-44
we all gathered at the church for the baptism .,Everyone was excited for the baptism,25-34
they all danced as the band played along .,At the end of the day we got the band together and played a few tunes before saying goodbye.,25-34
they made speeches with megaphones demanding to be heard by the public .,They stopped to listen to a woman with a megaphone.,25-34
everyone was neck and neck at this point .,IT IS A BLANK,18-24
he 's just watching these birds in the sky .,The walrus calls forth his pelican watch-dogs to keep an eye on the black bird.,18-24
aside from costumes | some had native american style tattoos | too .,The tattoos were in a native american style.,18-24
it was tons of fun .,"All in all, the day was tons of fun!",25-34
out of all the electronic stuff | he picked up the book to read .,He couldn't stop playing with them.,25-34
when [male] took a swing at it | fido barked and ran in circles .,It is Jack's turn now!,18-24
the friends gathered in one apartment to celebrate the passover holiday together .,We are all together for a fun night,35-44
the whole family poses before they eat the cake .,He had a great time on the hike.,25-34
i 'm glad that we chose these types of pictures . the photographer did a really great job . we look like we 're in our own world .,The world has different types of pictures.,18-24
we all celebrated and ate together .,We celebrated our success and ate a piece of cake.,55-74
my dad was carving it up .,They also made a main dish of chicken.,25-34
we got to see the location location location .,Sydney is a wonderful location to visit.,25-34
and lucky for us it was within walking distance of everybody 's house .,THE PICTURE IS BEAUTIFUL,25-34
it was a really beautiful day for a wedding .,It was a beautiful day for a wedding,25-34
and gorgeous lakes .,IT IS A EVENING TIME,25-34
the graduates laced the grass very quickly .,She quickly laved he shoes before walking in the grass.,25-34
what a great night with a great show !,The real firework show started.,35-44
when the party ended and the other children went home | one boy stayed behind and ate the rest of the food .,Some people stayed for the rest of the party.,18-24
camping trip | setting everything up,We're getting set up at the camp site.,55-74
as the crowd settles in for tonight 's hockey game .,Tonight settles our bet as to which hockey team is the greatest.,45-54
looking out over the crowd he could n't wait for the game to start .,The seats gave him an excellent view of the field. Right on the third base line.,35-44
i can see my house in the distance !,I could see my house in the distance.,25-34
a mexican-theme party was thrown at an office .,I got a lot of compliments on the poncho I wore to the costume party.,18-24
he met with a high level executive .,Followed by an award.,18-24
many fallen soldiers were remembered at the end of the parade .,Its a good way to make sure the soldiers are remembered by having a parade.,25-34
this sign makes me sad because it is a reminder of those who fought for our country .,The sign is a reminder from days gone by.,25-34
we went to see where grandma grew up .,The woman reminisced about the home she grew up in which belonged to her grandma.,25-34
the bat cookies were a crowd favorite .,I saved the cookies for my favorite crowd.,35-44
a cow scratching itself on a fence at mt . [male] .,IT IS A ANIMAL,25-34
the group of friends pose for a picture .,"I would love to write a story for this story board, however it is missing pictures.",45-54
they pass by a house that they recognize as a famous haunted house .,The Tire symbolizes the entrance to metro detroit.,35-44
it was shiny on the outside but needed interior work .,The coolest car they saw was an old red sports car.,25-34
this green one was being admired by alot of people .,Alot of people don't realize that green was once a very popular color for military airplanes.,25-34
afterwards | we had fun on the giant slide,IT IS A SHARHOS,25-34
biking to the market for some shopping .,The images weren't there.,25-34
writing on the walls,This girl carefully painted the informative writing on the walls.,25-34
we spent a much longer time looking at the vintage photographs . grandpa recognized many of the cars shown .,Photos from the former president's life tell a story.,35-44
my brother and i went to an activities workshop in town .,A girl attended a workshop with a friend.,25-34
here 's the mud hole.wonder why they never cleaned it up and used it for fishing or something for the community .,The fishing hole was full of mud as well.,25-34
there were many other great pictures as well .,I took many pictures of the glass art.,18-24
she found a small turtle at the edge of the shore .,IT IS A SEA,25-34
surprisingly | aunt [female] performed the best out of all of us . she 's never been good at any sport before .,"The uncle is a terrific bowler, but the cousin is not so good.",18-24
those are my friends standing in the background . they bought some delicious street tacos .,IT IS A TABLE,25-34
the capitol building looked very cool as i left in the night .,IT IS A VIOLET COLOUR,25-34
they offered many fresh options of locally caught seafood .,"The restaurant offered many options for their fresh seafood, making it difficult to choose.",55-74
our last stop was to see a cool guy in a little wagon train | it was so colorful .,All the world was happy because of non-violent resistance.,35-44
the people were playing golf,His mom was so proud of him.,25-34
we had to guard the candy from our boss .,He had a great time on the hike.,25-34
hup one two three four . it 's starting !,"""Blue 42. Blue 42!"" a player yelled indicated the play, and then they kept on.",18-24
the trails at the park are always fun to walk .,We took the kids to the park so they could walk on the trails.,25-34
the graduates marched in the auditorium .,THE MAN WALK THE ROAD,18-24
the air and ambiance made couples feels lucky to be together .,All of the people on the boat seem to be enjoying the tour.,35-44
my father decided to recreate his childhood town with model trains . he began with the trainyard .,The model train museum was ready to open.,25-34
we took a tour of the downtown tonight .,"I visited Times Square on a late, cloudy night.",35-44
she saw the bus driving up her road | and told mom .,she also likes the backpack,18-24
they talked to low income children .,These Marines were often involved in missions to stablize the area and provide aid to those in need.,35-44
it made the yard look much better !,Some women also did yard work.,25-34
i think i have a pretty good shot to win this .,"When looking at it from a different angle, the different floors of the house were accentuated.",25-34
i was looking up a recipe and i decided to try to make some dim sum .,My husband and I have decided to cook dim sum tonight for our friends for dinner.,25-34
many people joined them throughout the day .,"They lined up against along the road, bringing notice to the community.",25-34
this dragon one was our facorite one .,This piece represents a colorful dragon.,25-34
the entire museum had nautical themed installations for the month .,Afterwords he went to a park to reflect on his day by looking at public art.,18-24
it was [male] 's first birthday,It was the males birthday.,18-24
then | they headed over to the reception venue for their very first dance as man and wife .,The couple danced at the reception.,25-34
even [female] met new friends at the party .,The fifth is exactly the same as well.,45-54
her only son had traveled across the country to be with her on this special day .,Even her son traveled all the way from across the globe to be here on this special occasion.,35-44
[female] feels confident in herself and life for the first time . [male] is perfect for her .,The dog was ready to go.,25-34
we all listened to them . some rambled on and some had great focus points .,They rambled but i listened and focused.,18-24
love the doorway on this one . i could live here too .,IT IS A BUILDING,25-34
the cherry blossoms smelled so wonderful it was amazing !,They come in a variety of colors.,18-24
a lot of the horses and riders were competitors .,Look at those long beautiful legs on that horse.,35-44
the dogs watched in alert to the smell of the food,"The dogs waited patiently, knowing they may get a treat.",18-24
we could n't believe how much of a disaster the car was after the wreck .,IT IS A CAR,12-17
the organization organization organization,The Nebraska Library Commission is an organization that provides all kinds of library resources to the state.,35-44
and partied the night away,They partied all night until they lost the ladies.,55-74
the city spent a fortune on fireworks to celebrate its 200th birthday .,"Our city spent a fortune on fireworks last year, so we couldn't wait to see what the display would be like this year.",45-54
we stayed to watch fireworks in the night sky .,We stayed until close to watch the the fireworks in the sky.,25-34
the award ceremony was packed last night .,It was a packed crowd.,35-44
everyone blending in with each other . i almost lost everyone !,One guy ended up loosing the group and got lost blending in the dome.,18-24
there were a lot of guests so four tiers of cake were needed . the top layer will be frozen and saved for their first anniversary .,This beautiful cake with three tiers awaits the happy couple at their reception.,55-74
even the tires were nearly falling off .,One of the tires was even falling off.,25-34
its like you had gone back in time,IT IS A CAR,25-34
they had to buy some cotton candy .,THE GIRL WAS SOME DOING,25-34
there was good food after the trip to the aquarium .,She loved her trip to the aquarium and the delicious food.,45-54
they have a photo of [female] with her baby [male] as well .,He had a great time on the hike.,25-34
the decorations were nice,A couple smiles at their wedding reception.,25-34
and view the cool buildings,love the curved windows,25-34
we all got our own sparklers to use .,"But, they got to play with sparklers.",18-24
different groups came out in full force .,A force of citizens took to the street to celebrate,25-34
they are very grateful we helped them with so many different things .,"Everyone helped out with the planting, and the locals were so grateful for it.",45-54
hello kitty party favors were given out .,And there were plenty of party favors left over.,18-24
the next person was in a asian themed outfit .,This person seems to have a themed outfit.,55-74
some had flowers .,Two big guys with roses posed for my camera too.,25-34
the restaurants were delicious too .,The food here isn't too bad either.,25-34
there would be music played on the piano as soon as the townspeople arrived .,The townspeople loved when someone played the piano.,18-24
they had a few laughs and a good time .,Some of them wore wild eye glasses.,55-74
when told us his wedding was casual | i was not expecting it to be like this .,Three people spend time together.,18-24
we first were balancing balloons with a racket .,A man explains how things are done in the facility.,25-34
we got a bit crazy | but from the looks of it most of the people there did the same .,"Cameron always showed off when there was a camera, or a woman, present and he began being loud before he even had his first beer.",35-44
the posed for some photos afterwards .,"After the vows were exchanged, we posed for wedding photos.",45-54
they plant the trees all over the city .,We brought shovels and bought saplings at Home Depot.,25-34
the children of our church performed the traditional prayer for guests .,Here's the prayer session of the event.,45-54
it was a comeback tour .,Thier comeback tour was phenomenal.,18-24
the farm we work at is quite big .,It was a perfect day on the farm near the mountains and sea.,18-24
disney puts on a show on ice that features a bunch of different disney characters .,This show features Disney on ice.,18-24
and the rhino 's graze .,IT IS A ANIMAL,18-24
when he asked if anyone had any questions | no one did .,This will take a little over two hours.,25-34
here is my dog-ready for the dog show .,My dog is ready for the dog show!,25-34
