input.sentences,output.sentences,persona.age
"['got to the west coast this week in preparation for my big event .', 'we are getting some last minute training in . love the fresh air .', ""great photo ops too . hills may be tough for riding but can 's argue with the view ."", 'also the serine coast line was amazing .', 'always end your days with a recovery beer though .']","['I spent all week preparing to head west.', 'I spent every minute I could training.', 'The riding was tough but it was worth it to see the view.', 'I loved to look at the serine coastline.', 'When I got there, I had to spend a recovery day drinking beer.']",25-34
"['well here we are at the freak and weirdos summer party .', 'i have no idea who this guy is but he keeps photobombing me pictures .', 'well hello ... nope | maybe after a few more beers . many | many more beers ...', ""it 's getting kind of crowded in here . i 'm not sure i like being in such close proximity to all these weirdos ..."", ""... well okay | maybe things are looking up . let 's get this party started !""]","['I threw a party this summer with all of my weirdo friends.', 'My boyfriend thought it would be a good idea to photo bomb all the pictures.', 'People kept offering me beer, but I said , ""nope.""', 'I had never seen so many weirdos in such a close proximity.', 'When my sister showed up in her gold bikini, it really started the party.']",25-34
"['mom and all 5 daughters on a road trip to the beach .', 'we stopped at the over look to get the great picture opportunity .', 'the beach was pretty crowded since it was a warm summer day .', 'the girls had a great time frolicking in the water .', 'we made a little beach area to get away from the crowded beach so we could relwax and watch the waves .']","['It was time for the family road trip.', 'The family loved to go everywhere together.', 'Their favorite place to go was the beach.', ""The water was cold the day they went to the beach but the kids didn't care."", 'The parents sunbathed while the kids played in the water.']",18-24
"['the lake was large and reflective .', 'the tress made an interesting reflection on the water as we walked .', 'i liked this view particularly .', 'the old wind machine had not been used in many years .', 'the beautiful estate was offset perfectly by the owners many animals .']","['I went for a walk by the lakeside.', 'The sky was cloudy but the lake was still and it reflected the clouds and the trees.', 'I found an open passage through some trees nearby and went through.', 'On the other side was a great open meadow with a windmill.', 'When I finally got home I greated my dear cow friend and went inside my castle to unwind from the long walk.']",18-24
"['i thought the sky looked cooler than ever today .', 'an old church made me wonder about old food .', 'the pattern on the church door looked beautiful .', 'the outer walls were protecting the goods inside the church .', 'some things were meant to be left untouched .']","['IT IS A SKY', 'IT IS A BUILDING', 'IT IS A BROWN DOOR', 'IT IS A STONT', 'IT IS A BLACK STONE']",25-34
"['the fireworks in the spy resembled flashing sparks going off .', 'this is a view of the bridge before the fireworks started going off .', 'the city sky line is so beautiful at night .', 'fireworks bursting in the sky as the onlookers enjoy the show .', 'after the fireworks were over the moon came out to shine through the fog .']","['IT IS A COLOURFUL LIGHTS', 'IT IS A COLOURFUL LIGHTS', 'IT IS A COLOURFUL LIGHTS', 'IT IS A COLOURFUL LIGHTS', 'IT IS A COLOURFUL LIGHTS']",25-34
"['i love animals .', 'dogs are so cool .', 'i like turtles too !', ""but do n't forget ferrets ."", 'i also love owls !']","['The cute dog is going on a walk.', 'The dog spends some time with his owner.', 'The turtle has a really color shell.', 'The possum looks like a mixer of happy and angry.', 'The owl contemplated what he wanted for dinner.']",18-24
"['the bmx action was exciting and high flying .', 'the whole family attended the event .', 'we watched as the skilled riders hanged in the air .', 'we enjoyed the athletic display by the riders .', 'it was a fun event to witness in person .']","['went to wath my brother in his bike race today', 'there were lots of obstacles', 'he gets really high on some jumps', 'jumping and taking the lead', 'almot at the finish line']",35-44
"['she was shocked when she saw what her husband had did .', 'she saw her computer ...', 'and her handbags ...', 'and her books ...', 'he had mad her a complete home office . a dream that she had always wished for .']","['IT IS A COMPUTER ROON', 'IT IS A ADVANCED COMPUTER', 'IT IS A ADVANCED COMPUTER', 'IT IS A ADVANCED COMPUTER', 'IT IS A ADVANCED COMPUTER']",25-34
"['there was a costume party in my city today .', 'we decided to go to see what it was all about .', 'we saw this guy dressed in a dinosaur costume .', 'this lady looked to be a rock star of some sort .', 'this person was dressed up in some funny clothing .']","['I had an awesome time at the costume party.', 'I laughed really hard at watching the crocodile dance with the server.', 'the person wearing the crocodile costume entertained us all throughout the party.', 'I liked the woman who was dressed as a rockstar.', 'People had lots of fun showing off their costumes.']",35-44
"['the road to the cemetery began here .', 'the man veered off course to look at the snowy brook hat he liked .', 'as he kept going he was surprised to see some berries still going at this time of year .', 'he looked down to make sure he had not forgotten anything .', 'as he looked up he looked and loved ones tombstones one more time .']","['The cemetery is located by the highway', 'Running through the cemetery is a small stream that is partially frozen', 'The red berries give life to the birds through nourishment in a place where death is.', 'I visit the place of loved ones even when it is cold and snowy.', 'The cemetery looks lonely and cold during the winter.']",55-74
"[""it was baby benji 's first christmas ."", 'his noni was there with lots of hugs and kisses .', 'there were many presents to be opened for all .', 'benji got his first stuffed animal for christmas .', 'he also got a perfect coin bank for his rainy day fund .']","[""This Christmas was my baby's Benji first."", 'Noni gave him lots of kisses.', 'Everyone gathered together to open gifts.', 'Beji got a stuffed animal for christmas.', 'Benji got the perfect piggy bank and we named it rainy.']",18-24
"['there was a parade going on .', 'there were a lot of different costumes .', 'there was a wide variety of floats .', 'some of them were old cars .', 'a school band came next .']","['A group of American soldiers stand together.', 'A military person waves at the crowd.', 'A man walks with the parade.', 'A truck is decorated for a fourth of July parade', 'A boy playing in the marching band smiles with his band director.']",18-24
"['we went to meet sainburys .', 'they were very welcoming .', 'we all took a picture together .', 'we even played ping pong !', 'it was so fun !']","['The man is meeting with a group of young ladies.', 'He congratulates them for being so awesome.', 'They take a picture together, for memories.', 'They decidee to play ping pong to pass some time', 'One of the students beats him and everyone had a great time.']",18-24
"['the products i used were very efficient .', 'we mixed all of the ingredients together .', 'i used my hand to do most of the kitchen work .', 'the cake was delicious and yummy .', 'we all celebrated and ate together .']","['Buy things that are premade to be efficient in the kitchen and save time.', 'Be sure the ingredients are mixed well together.', 'Hand made items taste the best.', 'Look at this yummy delicious cake.', 'We celebrated our success and ate a piece of cake.']",55-74
"['i stopped by a small town on my road trip .', 'there were a lot of unique items available .', 'i bought some souvenirs while i was there .', 'i also bought some wood .', 'i stopped to watch the trains go by before heading on my way .']","['We stopped at an old town store.', 'It was full of unique items and sports equipment.', 'Even the souvenirs had a touch of old times.', 'So much old wood in the place we could have bought so much of it.', 'And then outside of it we could watch the train roll in and stop at the location.']",45-54
"['we took a tour of ancient civilizations in location . we started through a tour in a cavernous area .', 'we got a great picture of the hills and valleys of the land .', 'the water was so beautiful and clear .', 'and of course we had to pick up some beer !', ""it 's amazing the things you can see from history .""]","['THE MAN SOME DOING', 'IT IS A MOUNTAIN', 'THE PEOPLE WAS WATCHING', 'THE MAN SOME DOING', 'IT IS A MACHINE']",25-34
"['the mannequin was not dressed', 'but the shop had many clothes', 'and eggs as well .', 'there were heart cakes', 'and hair samples .']","['Betty, who was in chemotherapy for cancer,  took a shopping trip to New York where she enjoyed the mannequins in the windows.', 'She was especially fond of the formal, fancy dresses with many flounces.', 'After window shopping she went to the deli where she found decorated eggs like she had never seen before.', 'At the bakery on the corner she purchased a small heart-shaped cake for her husband.', 'Finally, she went into the wig store to find something to lift her spirits because she had lost her hair.']",55-74
"['going to camp can be fun', ""except when it 's too hot ."", '[male] got a prize for winning the belching contest .', '[male] and [female] became boyfriend and girlfriend .', 'and [male] won the award for ruining the most pictures .']","['The kids had so much fun at camp.', 'It was a hot summer day.', 'The winning prize went to the funniest male in the group.', 'The next went to the couple shared by a male and his girlfriend the first female to win.', 'The next prize was given to a photo bomber for ruining pictures and was for a male student.']",25-34
"['our trip to the old country was fantastic .', 'the tour was very interesting and we met a lot of new people .', 'the view of the water was amazing .', 'you could see for miles from where the tour took us .', 'it was a very beautiful trip and we saw many things .']","[""The beach they went to wasn't a normal beach."", 'It was a cold beach they had to wear jackets at.', 'It was a very windy day.', 'It was very beautiful though.', 'There were a lot of cool rock formations by the beach.']",18-24
"['the kids were having a great time', 'writing on the walls', 'and drawing various things .', 'they made many colored things', 'and drew giant pictures .']","['These kids volunteered their time to spruce up this school.', 'This girl carefully painted the informative writing on the walls.', 'Others used their talent in drawing to decorate the walls.', 'Some colored in the outlines with paint.', 'The pictures those kids drew were giant.']",25-34
"['i went on a trip to the countryside . i found this sign quite funny .', ""[female] did n't want her picture taken ."", 'the ocean was nearby .', 'the hydrant and hose box stood in stark contrast to each other .', 'i climbed way up high to the top of a summit and took this picture of a lighthouse .']","['On our trip to the ocean, there was a sign that said something funny.', 'When i tried to take a photo of the sign i noticed there was a picture taken of a female.', 'Thirty minutes later i can smell the ocean nearby.', 'As we arrived there stood a stark fire hose box and a fire hydrant.', 'We hiked on top and once we reached the summit of the hill we took a picture.']",18-24
"['me and my family had a surprise party for our mother tonight', 'we made sure that every one came out', ""she was so glad that every one came even if they did n't have gifts"", 'i think every one got a picture with mom tonight', 'this will be a fun night mom will always remember']","['The Thompson twins were beautiful.', 'Grandma Betty loved Ann the most though.', 'Leroy grimaced as she kissed him.', ""Grandma didn't know who this redheaded chick was, but she liked her."", 'The family posed for one last photo together.']",35-44
"['i went to the concert yesterday .', 'i had a great time .', 'the band members were very talented .', 'it was a comeback tour .', 'it was a lot of fun .']","['The concert was amazing.', 'There were a lot of talented artists there.', 'The drummer was the best.', 'The lights were also very cool.', 'The guitarist was very funny.']",18-24
"['never to early in the day to take a selfie !', 'grandma [male] on her 55th birthday | still looking young !', 'my friends [female] and [male] over to help me with my hair !', '[female] shaving my hair | feels great !', 'me looking like a boss with my new hair cut !']","['Today is national take a selfie day so Brad started the day with a ""i just woke up"" selfie.', 'Brad is better than most males when it comes to remembering  birthdays so he was sure to get a selfie with his grandma on her birhday.', 'Like a typical male Brad got a bit self consious about his receding hairline when he saw ths selfie with his friends.', 'After noticing something had to be done about his hair he went to his favorite female stylist and got a selfie of her shaving him.', 'Brad was feeling like a boss after his hair cut so he took one last selfie.']",35-44
"['the crowd lined the streets and awaited for the parade to start ...', 'then | here comes the drum line !', 'they were led by an excellent bass drummer | whom had some of the best skills the town had seen .', 'just ask [female] | as she cheers loudly for the drummers and the remaining parade members .', 'as the parade finished | the families were happy with what they saw and begin to head toward their vehicles .']","['The parade was about to start.', 'Wow, the band was amazing.', 'I love the music going on today.', 'There were lots of people, kids having a good time.', 'Once the parade started winding down, I got ready to go to the bar for a drink.']",45-54
"['the surfer carried his board to the water .', 'he got it going and held on tightly .', 'he had to be careful to avoid objects in the water .', 'he managed to avoid the objects and ride the board down the water .', 'he met up with a friend and they rode together .']","['Even though he was afraid of the ocean, he thought about going in to surf.', ""He decided to go in and it wasn't that bad after all."", 'He even got the hang of wind surfing, and had a lot of fun.', 'In this fun moment he realized he conquered his fear of the water.', 'The ocean waves crashed against the board but he remained unafraid.']",25-34
"['outside the house as we were leaving for the race .', 'registration was really crowded .', 'a photo op heading to the starting line .', 'the first to the end of the finish line .', 'a great run for a great cause . an inspiring event .']","['It was the day of the big race, John was ready.', 'They all got their bibs on for the race.', 'Johns wife sotood next to the course to cheer him on .', 'He crossed the finish line at 10th place.', 'John was very proud of himself.']",18-24
"['we tried to help set up the garden today .', 'we needed to add more things even though it was already growing things .', ""we could n't wait to plant new trees ."", 'we used a lot of water .', 'we went looking for types of trees that would fit in our garden .']","['They set the garden.', 'They add for more growing.', 'They wait to plant more trees.', 'They water the lot.', 'There were many types of trees in the garden.']",18-24
"['washing and drying the t-shirt for the race .', 'the racers gathered around getting instruction .', 'location location run .', 'another kind of racer gets ready .', 'resting after the race .']","['The Catoctin 50K Run is an annual event that is very important to its region.', 'Though not nationally known it draws running enthusiasts from all over the world.', 'Unlike popular urban marathons, the Catoctin Run goes along a country trail.', ""The markers this with a huge man cutout along the trail are very important and must be clearly visible so people don't get lost."", 'At the end of the run people relax and cool down with a sense of accomplishment no matter what their finish time.']",55-74
"['some friends bought fireworks for their 4th of july party . they bought one in the shape of a yellow and green house ...', 'and one shaped as a panda .', 'the house firework exploded into a spray of green and yellow lights .', 'the panda started off as yellow fireworks ...', 'and then worked into a pink explosion . the friends believed that their purchases were well worth it .']","['The party decorations were paper shapes with pink and yellow.', 'One was a shaped like a panda.', 'One was a Chinese pagoda sprayed yellow with lights.', 'The yellow one and the panda started at ten dollars.', ""Those purchases and the pink decor were worth it to fit the party's Chinese theme.""]",55-74
"['an old organization is being remodeled .', ""it 's being turned into a science center ."", 'a lot of work needs to be done here .', 'hopefully we will have a lot of help .', ""the center will be called `` science is here ''""]","['Last year we remodeled an old building to use for our organization.', 'There was also going to be a science center located on the second floor.', 'It needed a lot of work!', 'We gave it a lot of love, and care.', 'The day that the science center was going to begin on their floor, they called, and said it would be too much work, so we got the whole building to ourselves.']",35-44
"['the students came together for an orientation to learn about their new school .', 'people gathered from many different regions .', ""one of the teacher 's gave a presentation to the students ."", 'the principal listened intently to the teacher while he was giving his presentation .', 'next the principal gave her presentation and went through the student handbook with the audience .']","['All of the new students show up right on time for student orientation.', 'People from all different regions gathered.', 'The students gathered in the auditorium to listen to a presentation from the teachers.', 'After the teacher presentation, the principle took the podium.', ""After the principle's speech, he introduced the student body president""]",25-34
"['our neighbor showed us around last week .', 'his wife was very adventurous .', 'her brother was a nut but he loved nice cars .', 'they had really high priced equipment on board .', ""i did n't know they needed a team to drive the car .""]","['The gentleman in the hat was planning to have a good day touring the space center.', 'His lady friend toured the space center museum  and got to sit inside the capsule.', 'They were shown a number of interesting military items.', 'The man giving the briefing showed them the office.', 'They were then shown to where the workers monitored the equipment.']",55-74
"['going to camp can be fun', ""except when it 's too hot ."", '[male] got a prize for winning the belching contest .', '[male] and [female] became boyfriend and girlfriend .', 'and [male] won the award for ruining the most pictures .']","['Summer camp is my favorite time of year.', ""I look forward to seeing friends I haven't seen since last summer."", 'This year we gave Sam the ""Best Newcomer"" Award.', 'Sarah and Josh are always there for a good laugh.', 'It cracks me up how much Doug hates having his picture taken!']",25-34
"['the group of people showed up to discuss and interact with each other .', 'they waited for everyone to arrive .', 'then they told stories and share ideas .', 'they all listened while the speaker shared .', 'everyone had a turn in the circle to talk and interact .']","['When people get together, and interact it is almost impossible that they will not discus things that are important to them.', 'I watched them as they would arrive.', ""It wasn't long before they told stories, and shared things with each other."", 'When the speaker shared his own story everyone listened.', 'It seemed there was still things left to talk about when asked to interact around the circle.']",35-44
"['this picture of me in my wedding dress leaves me breathless .', 'i was so emotional having my father walk me down the aisle .', 'my parents have been my biggest supporters .', 'my future mother in law is one of the nicest individuals i know .', 'my husband to be and the officiant are patiently waiting for my arrival .']","['The bride posed for a wedding picture as the leaves fell around her.', 'Her emotional father was at her side to walk her down the aisle.', 'She was grateful to her parents, her biggest supporters.', 'Thankfully, her mother in law was the nicest of ladies.', 'Her groom waited patiently with their officiant as she made her way down the aisle.']",25-34
"['the bride of the wedding has her picture taken in front of a luxury car .', 'a wedding guest tries some dance moves before the event begins .', 'friends and family gather at their tables for the wedding reception', 'the arrangements provided for the wedding are absolutely stunning .', 'a wedding guest has taken a wide-shot photograph of the space the event was held in .']","['Bhakti is getting married today.', 'Her best friend, Petra, is her maid of honor.', ""The groom's family is from a foreign country, but they seem to be excited as well."", 'They have prepared beautiful flowers for decorations.', 'Everyone is so happy to see the newlyweds.']",25-34
"['this area is notorious for their scenery and beautiful leisure spots .', 'there is biking along the coast that you can participate in .', 'a lot of families come and spend their vacation .', 'the beaches are filled with people .', 'the little shops and tourist shops are packed and have great little food and markets .']","['In our town there are spots notorious for their scenery.', 'One such place is on the coast where people go biking.', 'People come here for vacation and spend a lot of time.', 'During the summer, people have filled the beaches.', 'The tourist spots are packed.']",55-74
"['there are ancient mayan ruins by the village .', 'people come from hundreds of miles around to see the ruins .', 'the ruins are 150 feet high .', 'they were built over 2000 years ago .', 'this tour group walked 20 miles from their bus to be here .']","['the village of the ruins mayan', 'the ruins have been seen by many people in all their miles', 'the ruins measure 150 feet', 'it was built for 2000 years ago', 'but now is a tour walked in yours hundreds miles']",18-24
"['we toured the old church .', 'they had beautiful artwork .', 'it was a very old building .', 'the artwork was reverent .', 'you can sense the english vibe .']","['The group toured an old church.', 'They commented on the beautiful artwork inside.', 'It seemed the building was by an old wharf.', 'The reverent artwork showed the beauty of family.', 'There was a vibe and sense of the english from ancient times.']",35-44
"[""it was a nice day . we did n't want to go shopping | but had to ."", 'there were great deals at the store .', 'of course we had to try them out .', 'and pick all the stuff that we like .', 'and | to make it less boring | goof around with some of the products .']","['It was a beautiful day to walk to the store.', 'I wanted to go to this store because they were having great deals.', 'I picked out some items to buy.', 'I looked down the  aisle to find the product that I wanted.', 'I found a new item that I thought looked delicious!']",45-54
"['what is that chick wearing ?', 'is that a lightbulb ?', ""who cares | there 's a scantily clad girl now ."", 'i wish i were closer .', 'like | as close as that guy !']","[""From a distance, it's hard to see the chick wearing the outfit that looks like a space suit."", 'Its only when you get a closer look that you see the lightbulb attached to the uniform.', 'She and the scantily clad girl in yellow are in a special dance routine.', 'At closer glance, you can see how each of them appeal to different tastes in women.', 'The scantily clad girl always seems to draw a guy close, while the fully covered girl does not.']",35-44
"['just got in the park .', 'boy kicking and playing with a basketball .', 'looking for his basketball .', 'playing with a plastic bottle .', 'and laying on the sand .']","['One day a little boy went to the park.', 'The boy loved kicking the basketball,', 'After a while the boy lost interest in the basketball.', 'While playing his little sister played with a plastic bottle,', 'At the end of the park visit the boy played in the sand.']",35-44
"['the class was coming up with ideas on how to decorate the class room .', 'the teacher went around the table asking the kids .', 'everyone gave their opinions .', 'after deciding | they got to work .', 'they started cutting and coloring .']","['Mrs. Norris was a wonderful art teacher, and she loved inspiring her students to be creative.', 'She gave her students an assignment; everyone was to paint a self portrait.', 'The students gathered their supplies and began to plan out their projects.', 'Paint got everywhere as the students enthusiastically set about painting their portraits.', 'The end result was messy, but a great deal of fun.']",25-34
"['this is a building i took a picture of when i visited my friend last month .', 'this was another building that we saw downtown .', 'this was a type of museum that we went to .', 'this building had a lot of cool things inside when we went in .', ""here 's a picture of hanging cars that was outside a building . we went home after seeing the sites and we all had a great time .""]","['IT IS A BUILDING', 'IT IS A BUILDING', 'IT IS A BUILDING', 'IT IS A BUILDING', 'IT IS A BUILDING']",18-24
"['i spent all day out on the farm .', 'i worked very hard .', 'i could see the house in the distance .', 'there was a lot of land out here .', 'when i got back to the house i was very hungry .']","['We spent the day on the farm.', 'It was a hard day.', 'The house was in the distance.', 'there was a lot of land.', 'I was hungry so i went to the house.']",18-24
"['we were prepped about what to do at the local shelter before we actually started .', 'my groups job was to peel carrots .', 'another group was set on peeling potatoes .', 'the last group was tasked with moving supplies .', 'at the end of the day | we all felt a rewarding feeling by knowing that we helped those less fortunate than us .']","['We are assembled here today he yelled.', 'To put an end to these peoples suffering.', 'Amen said the man making the soup', ""I've  never heard nothin so smart said the goon pushing blue boxes."", 'Why thank you, he said. For we shall eradicate homelessness by feeding the homeless food made of homeless people the capture and kill the ol skin and bones soup shelter.']",35-44
"['the animals on the asian beach is interesting .', 'there was monkeys too .', 'the bugs are very interesting .', 'the water is a nice attraction .', 'time to prepare dinner .']","['Our Asian trip began by seeing the animals on the beach', 'The mommy monkey was napping with her child.', 'We saw many beautiful bugs that day.', 'We enjoyed a nice walk along the water.', 'Finally, it was time to prepare dinner.']",25-34
"['on our day of the protest | many people showed up .', 'it was great to see people fight even with enforcement there .', 'many people made signs in the protest .', 'it was great to see all of the creativity from the protesters .', 'we we marched out but we did not go out in silence .']","['Earlier in the day, I saw a bunch of people at a protest.', 'There were some people from law enforcement there, trying to prevent a fight.', 'I liked reading the signs that people made for the protest.', 'I was impressed by the protesters creativity.', 'Although they had vibrant signs, the protesters marched in silence.']",18-24
"['a view of a beach with a small wave .', 'there is a group of people looks like there having a beach party', ""they 're about to rafting ."", 'the amount of people slowly decreases at the beach party .', 'as the night comes to a end the sunset is out .']","['IT IS A SEA', 'THEY BUILD A BRIDGE', 'ONE BOAT IS READY TO SWIM THE BEECH', 'PEOPLES ARE WALKING THE BEECH', 'THE SUN IS RISES IN THE EAST']",25-34
"['there are several different carnival cut outs here for the fair today .', 'look like they have a cutout of detectives solving a crime .', 'carnival cutout of dancing girls posing together .', 'gentleman putting his hands in places it do not go on this carnival cutout for fun .', 'it has come to the end of game trail for all of our carnival cutouts .']","['A man has his picture taken while his face is in a opera viking picture.', 'Two people gets their pictures taken while standing inside a Sherlock Holmes and Watson cutout.', 'Two people get their picture taken while looking like showgirls.', 'A man gropes his girlfriends fake breasts while she stands behind a opera viking picture.', 'A woman looks bored while standing over a trash can.']",18-24
"['the red and white stand was perfect for the fair .', 'the carousel got a lot of attention and focus .', 'the small performance was very entertaining .', 'we gathered together at the fair for good times .', 'there were so many prizes too win !']","['The carnival came to town once a year.', 'The carnies brought a carousel for kids to ride.', 'There was a barber shop quartet that sang for everyone.', 'The whole town attended the carnival.', 'And everyone entered the canning contest.']",18-24
"['gentleman is standing at the morman visiting center .', 'two friends jog along the sidewalk to they are not late .', 'the location location location temple .', 'the temple lit at night | how pretty .', 'another picture of the temple lit up at night .']","['While visiting local places, John took a pic of me standing outside of the Mormon visitors center.', 'On the sidewalk, we were late for the next event so we began jogging.', 'We headed toward the temple location.', 'That temple was so pretty at night.', 'We wanted a temple picture, and spent the rest of the night searching the best angle.']",35-44
"['my day started with a quick cleaning of my computer .', ""my alleyway is flooded and i ca n't tan in the middle of it ."", 'it is a rainy day and no one should be happy .', 'the neighborhood looked a little depressing .', 'a poor man got into a traffic accident and i called the police for him .']","['Trying out my new camer.', 'Need to get orientation right so I can take good pics.', 'THis is an artistic shot.', ""One more artistic shot so people think I'm good."", 'Sadly, this is the kind of pictures people want to see.']",35-44
"['it was a cold morning at -17 degrees celsius .', 'we had to close the trails for safety .', 'the pine trees were white with snow .', 'we used the tractor to clear the trails .', 'it was going to take all day to clear the snow away .']","['Woke up early to a very cold day.', 'Everything is snow covered, looks good though.', ""I'm looking out my window and what I see would make great post card pictures."", ""It's definetly a snow day for all, the trees are beautiful even though dealing with snow is a messy job."", 'Hikers will have to wait for another day to enjoy the trails.']",45-54
